name,type,domain,seeAlso,equivalentTo,seeAlso_2,description,colloquialTermFor_1,colloquialTermFor_2,colloquialTermFor_3,colloquialTermFor_4,colloquialTermFor_5,Present,Present Continuous,Past
Gene,noun,Biology,"transcriptional unit, cds",,https://en.wikipedia.org/wiki/Gene,DNA that corresponds to a genetic product,"SO:0000704 ""gene""",,,,,N/A,,
CDS,noun,Biology,,,https://en.wikipedia.org/wiki/Coding_region,,"SO:0000316 ""cds""",,,,,N/A,,
Silencing,verb,Biology,knockout,,https://en.wikipedia.org/wiki/Gene_silencing,Inhibiting the expression of a gene,"GO:0010629 ""negative regulation of gene expression""",,,,,Silence,Silencing,Silenced
Knockout,verb,Biology,silencing,,https://en.wikipedia.org/wiki/Gene_knockdown,Removal of a sequence/gene from an organism,"NCIT:C22491 ""Knock-out""",,,,,Knockout,Knocking out,Knocked out
Knockout,noun,Biology,"mutant, strain, line",,,An organism that has had a knockout performed on it (removal of sequence/gene),NCIT:C22491,,,,,N/A,,
Construct,noun,Biology,"transcriptional unit, device, cassette",,https://en.wikipedia.org/wiki/DNA_construct,"Term for an engineered DNA sequence, typically pertaining to a transcriptional unit(s)","NCBITaxon:32630 ""synthetic construct""",,,,,N/A,,
Strain,noun,Biology,mutant,,https://en.wikipedia.org/wiki/Strain_(biology),An organism pertaining to a specific genotype.,"NCIT:C14419 ""Organism Strain""",http://purl.obolibrary.org/obo/NCBITaxon_strain,,,,N/A,,
Line,noun,Cell Biology; Plant Biology,mutant,,,An organism pertaining to a specific genotype.,,http://purl.obolibrary.org/obo/NCBITaxon_varietas,,,,N/A,,
Device,noun,Synthetic Biology,"transcriptional unit, construct, cassette",,https://en.wikipedia.org/wiki/Molecular_machine,Term for an engineered DNA sequence with a purpose in a system,,,,,,N/A,,
Cassette,noun,Synthetic Biology,"transcriptional unit, device, construct",,https://en.wikipedia.org/wiki/Expression_cassette,"Term for an engineered DNA sequence, often used for expression systems",,,,,,N/A,,
Cloning,verb,Molecular Biology,assembly,,https://en.wikipedia.org/wiki/Molecular_cloning,Inserting a genetic feature into a host organism,,,,,,Clone,Cloning,Cloned
Clone,noun,Molecular Biology,,,https://en.wikipedia.org/wiki/Molecular_cloning,"Organism produced as a result of cloning, whether they be positive or negative.",,,,,,N/A,,
Assaying,verb,Biology,,,https://en.wikipedia.org/wiki/Assay,,,,,,,Assay,Assaying,Assayed
Assay,noun,Biology,,,https://en.wikipedia.org/wiki/Assay,,,,,,,N/A,,
Screening,verb,Molecular Biology,selection,,https://en.wikipedia.org/wiki/Molecular_cloning#Screening_for_clones_with_desired_DNA_inserts_and_biological_properties,,,,,,,Screen,Screening,Screened
Screening,noun,Molecular Biology,,,,,,,,,,N/A,,
Assembling,verb,Biology,cloning,,https://en.wikipedia.org/wiki/Molecular_cloning#Creation_of_recombinant_DNA_with_DNA_ligase,"Process of ligating DNA fragments together. Common methods include Golden Gate, digest-ligate, Gibson.",,,,,,Assemble,Assembling,Assembled
Sample,noun,Biology,,,,,,,,,,N/A,,
Growing,verb,Microbiology,,,,,,,,,,Grow,Growing,Grew
Incubation,verb,Microbiology,,,,,,,,,,Incubate,Incubating,Incubated
Fragment,noun,Molecular Biology,,,https://en.wikipedia.org/wiki/DNA_fragmentation,Linear nucleic acid sequence often a product of restriction digest or synthesis,,,,,,N/A,,
